id,place_name,address,p_type,sub_type,contact_number,current_status,website,latitude,longitude,created_at,updated_at,action,bkoi_addr,rev_data
33383,Ting Tong,"2412 Al Mutanabbi, Al Malaz, 7261, Riyadh 12831, Saudi Arabia",Food,Bar-B-Q,,,,24.6721787,46.730114,30:34.0,30:34.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33384,Afdal Tikka Restaurant,"Jarir St, Al Malaz, Riyadh 12831, Saudi Arabia",Food,Restaurant,,Open ⋅ Closes 2 AM,,24.6706789,46.7294516,32:01.0,32:01.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33385,Fatayer Jarir,"Al Malaz, Riyadh 12831, Saudi Arabia",Food,Restaurant,,,drive.google.com,24.6707055,46.7296838,32:47.0,32:47.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33386,Al Taam Al Masi Restaurant for Catering,"MPCH+8V5, Jarir St, Al Malaz, Riyadh 12831, Saudi Arabia",Food,Restaurant,,Closes soon ⋅ 2 PM ⋅ Reopens 4 PM,,24.6707502,46.7297388,33:39.0,33:39.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33387,Express Restaurant,"2374 شارع جرير، الملز،, Riyadh 12831, Saudi Arabia",Food,Restaurant,,Open ⋅ Closes 12:30 AM,facebook.com,24.6708926,46.7304226,34:29.0,34:29.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33388,Madaras Biriyani Restaurant,"Jarir St, Al Malaz, Riyadh 11411, Saudi Arabia",Food,Biryani House,,Open ⋅ Closes 11:30 PM,,24.6710658,46.7306635,34:46.0,34:46.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33389,GAD,"MPCJ+99V, Al Malaz, Riyadh 12831, Saudi Arabia",Food,Restaurant,,Open ⋅ Closes 1 AM,,24.6709597,46.7309492,35:11.0,35:11.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33390,Meshwi wa Singari,"حي, Jarir St, Al Malaz, Riyadh 12831, Saudi Arabia",Food,Sea Food,,Open ⋅ Closes 12 AM,,24.6710312,46.7313989,36:39.0,36:39.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33391,Shawarmer,"Jarir St, Al Malaz, Riyadh 12831, Saudi Arabia",Food,Fast Food,,Open ⋅ Closes 4 AM,smart.link,24.6710615,46.7315464,37:33.0,37:33.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33392,Koshary El Tahrir,"7101 Jarir St, Al Malaz، 2567, Riyadh 12836, Saudi Arabia",Food,Restaurant,,Open ⋅ Closes 2 AM,,24.6711013,46.7319382,37:59.0,37:59.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33393,Domino's Pizza,"Jarir St, Al Malaz, Riyadh 12831, Saudi Arabia",Food,Pizza Place,,Open ⋅ Closes 3:30 AM,dominos.sa,24.6711775,46.732235,38:12.0,38:12.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33394,Riyad Bank,"MPCJ+FX, جرير, Al Malaz, 2576 Jarir Street, Riyadh 12831, Saudi Arabia",Bank,Bank Branch,,Open ⋅ Closes 4:30 PM,riyadbank.com,24.6711875,46.7324375,38:33.0,38:33.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33395,Bayt Al Shawaya,"Jarir St, Al Malaz, Riyadh 12831, Saudi Arabia",Food,Restaurant,,,shawayahouse.com.sa,24.671343,46.73334,39:19.0,39:19.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
33396,Café Toledo 2,"7197 Jarir St, Al Malaz، REMA2752، 2752, Riyadh 12831, Saudi Arabia",Food,Restaurant,,Open 24 hours,facebook.com,24.671502,46.7338547,40:00.0,40:00.0,0,.,"{""id"": null, ""area"": null, ""city"": null, ""union"": null, ""address"": null, ""country"": ""Saudi Arabia"", ""district"": null, ""division"": null, ""pauroshova"": null, ""sub_district"": null, ""location_type"": null, ""area_components"": {""area"": null, ""sub_area"": null}, ""address_components"": {""road"": null, ""house"": null, ""place_name"": null}, ""distance_within_meters"": null}"
