#,Region,Region,المنطقة,المنطقة,City,المدينة,Remote/Main,SID,Old Name,New Name,External Code,Anydesk ID,English Display Name - New,Arabic Display Name - New,latitude,longitude,Google Maps Link,Glass Room,Location Owner,SIM SN,Retail / LM,Short Address,Buliding NO.,Street Name,Street Name Arabic,District Eng,District Arabic,Zip code,Additional No.,Address,Main Modules,Adder Modules,Working Hours,Order #,Installed
1,Central,,الوسطى,,Riyadh,الرياض,Main,PSRU1001,221235,225875,221053,1268892963,Al Yasmeen Parcel Station - Riyadh - SPL,محطة طرود الياسمين - الرياض - سبل,24.83177,46.636671,https://goo.gl/maps/mwhu9q2JRcbadpr4A,NO,SPL Retail,899664181911765,Retail,RAYA8418,8418,King Abdulaziz Road,طريق الملك عبد العزيز,Al Yasmeen Dist.,,13325,4272,"8418 King Abdulaziz Road, Al Yasmeen Dist., Riyadh, 13325 - 4272",1,4,24 Hours,Old SPL Machines,Completed
2,Central,,الوسطى,,Riyadh,الرياض,Main,PSRU1002,220534,225876,25800,1121550209,Al Rawdah Parcel Station - Riyadh - SPL,محطة طرود الروضة - الرياض - سبل,24.730285,46.773525,https://goo.gl/maps/vqk9DyQX19VP5MvK8,NO,SPL Retail,8.99664181911766E+018,Retail,RFRA7779,7779,Zainab Bint Jahash Street,طريق زينب بنت جحش,,,13211,3846,Address Incomplete,1,8,24 Hours,Old SPL Machines,Completed
3,Central,,الوسطى,,Riyadh,الرياض,Main,PSRU1003,223202,225877,-,1844120588,Al Maather Parcel Station - Riyadh - King Faisal Specialist Hospital,محطة طرود المعذر - الرياض - مستشفى الملك فيصل التخصصي,24.671833,46.676642,https://goo.gl/maps/TbeewngQ22DRPHSp8,NO,King Faisal Hospital,8.99664181911766E+018,LM,RBMA2613,2613,Makkah Al Mukarramah Street,طريق مكة المكرمة,,,12713,7625,Address Incomplete,1,4,,Old SPL Machines,Completed
4,Central,,الوسطى,,Majmaa,المجمعة,Remote,PSMJ1004,221074,225878,21000,1660056189,Al Fayha Parcel Station - Majmaa - SPL,محطة طرود الفيحاء - المجمعة - سبل,25.902987,45.354468,https://goo.gl/maps/2pcH8hgJsavFRw2N8,YES,SPL Retail,8.99664181911766E+018,Retail,LMPB3488,3488,Ibn Arar Street,طريق ابن عرعر,,,15362,6895,Address Incomplete,1,4,24 Hours,Old SPL Machines,Completed
5,Central,,الوسطى,,Zelfy,الزلفي,Remote,PSZF1005,,225879,21100,1547208024,Al Farooq Parcel Station - Zelfy - SPL,محطة طرود الفاروق - الزلفي - سبل,26.302963,44.819104,https://goo.gl/maps/24WFpu65H3maTGZm7,YES,SPL Retail,8.99664181911766E+018,Retail,LZSA4884,4884,King Fahad Street,طريق الملك فهد,,,15971,7171,Address Incomplete,1,4,24 Hours,Old SPL Machines,Completed
6,Central,,الوسطى,,Buraydah,بريدة,Remote,PSBR1006,,225880,72505,1095193178,Al Iskan Parcel Station - Buraydah - SPL,محطة طرود الإسكان - بريدة - سبل,26.371672,43.934822,https://goo.gl/maps/dUVMdKaen1WpRXPU7,YES,SPL Retail,8.99664181911766E+018,Retail,QBWA2804,2804,Al Iskan Street,طريق الإسكان,,,52384,6800,Address Incomplete,1,4,24 Hours,Old SPL Machines,Completed
7,Central,,الوسطى,,Buraydah,بريدة,Remote,PSBR1007,,225881,70015,1782865141,Al Mawta Parcel Station - Buraydah - SPL,محطة طرود الموطاء - بريدة - سبل,26.322197,43.960933,https://goo.gl/maps/CStGprfHCVFvNB4VA,YES,SPL Retail,8.99664181911766E+018,Retail,QBMB2875,2875,Siraj Saleh Malaikah Street,طريق سراج صالح ملائكة,,,52355,7545,Address Incomplete,1,4,24 Hours,Old SPL Machines,Completed
8,Central,,الوسطى,,Unayzah,عنيزة,Remote,PSON1008,,225882,70400,1377410318,Al Muntazah Parcel Station - Unayzah - SPL,محطة طرود المنتزه - عنيزة - سبل,26.112479,43.983888,https://goo.gl/maps/YV5HQuypEsy84Lny5,YES,SPL Retail,8.99664181911766E+018,Retail,QAGA8385,8385,King Abdulaziz Street,طريق الملك عبد العزيز,,,56434,2101,Address Incomplete,1,4,24 Hours,Old SPL Machines,Completed
9,Central,,الوسطى,,Al Rass,الرس,Remote,PSRS1009,,225883,70500,1010539077,King Faisal Parcel Station - Al Rass - SPL,محطة طرود الملك فيصل - الرس - سبل,25.880763,43.491824,https://goo.gl/maps/rWfdx7ED9u1EihCr8,YES,SPL Retail,8.99664181911766E+018,Retail,QOUA7864,7864,Tariq Ibn Ziyad Street,طريق طارق بن زياد,,,58883,4184,Address Incomplete,1,4,24 Hours,Old SPL Machines,Completed
10,Northern,,الشمالية,,Tabuk,تبوك,Remote,PSTB1010,,225884,141100,1413595611,Al Faisaliyah Parcel Station - Tabuk - SPL,محطة طرود الفيصلية - تبوك - سبل,28.392968,36.564122,https://goo.gl/maps/bzMh8J4qy9UTZTpz5,YES,SPL Retail,8.99664181911766E+018,Retail,KGAC3087,3087,Khaled Ibn Abdulaziz Street,طريق خالد بن عبد العزيز,,,47912,6796,Address Incomplete,1,4,24 Hours,Old SPL Machines,Completed
